listname,source,type,description
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph59ac0bbb30049,public,
"Vertical videos",https://xhamster.com/movies/5012184/nice_amateur_fuck.html,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=208297627,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5aca37456992b,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph572fbb20ed132,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph57e784a2e66f7,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=792213666,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5a80e69558871,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5ad25e32dedf8,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5b535befde832,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5b343ab0c1796,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5a1f5f5c2f6e3,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5ad6b5f9e047f,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5a372483295d2,public,
"Vertical videos",https://xhamster.com/movies/8828948/floridian-chick-demonstrates-sex-needs.html,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5b678d9aa15fc,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5b5c90cab9b2a,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5ad55a19e6828,public,
"Vertical videos",https://xhamster.com/movies/5384428/attractive_wife_with_big_tits_homemade.html,public,
"Vertical videos",https://www.pornhub.com/view_video.php?viewkey=ph5b37b778c614c,public,
"Vertical videos",https://www.xvideos.com/video32005777/,public,
"Women in control",https://www.pornhub.com/view_video.php?viewkey=1319476927,public,
"Women in control",https://www.xvideos.com/video1572213/,public,
"Women in control",https://www.pornhub.com/view_video.php?viewkey=ph5b33a4d989ddf,public,
